"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Polarization optimization of compact antenna arrays for direction of arrival estimation","M. Pralon; M. Hein; R. Thomä; L. Pralon; B. Pompeo; G. Beltrao; G. Del Galdo; M. Landmann","Ilmenau University of Technology, Electronic Measurement Research Laboratory, Ilmenau, Germany; Ilmenau University of Technology, Electronic Measurement Research Laboratory, Ilmenau, Germany; Ilmenau University of Technology, Electronic Measurement Research Laboratory, Ilmenau, Germany; Brazilian Army Technology Center, Rio de Janeiro, Brazil; Brazilian Army Technology Center, Rio de Janeiro, Brazil; Brazilian Army Technology Center, Rio de Janeiro, Brazil; Fraunhofer Institute for Integrated Circuits, Ilmenau, Germany; Fraunhofer Institute for Integrated Circuits, Ilmenau, Germany","2017 European Radar Conference (EURAD)","8 Jan 2018","2017","","","485","488","Analysis of polarization optimization of dual-polarized compact arrays for direction finding, which include Decoupling and Matching Networks (DMNs) comprised of distributed elements, is performed in this paper. The CRLB for two-dimensional Direction of Arrival (DoA) estimation is used as a figure of merit for the performance of five elements dual-polarized circular L-Quad arrays, assuming different interelement spacings and the correspondent DMNs, designed with the aim of decoupling and matching the compact arrays, with interelement spacing smaller than half of the free-space wavelength. Owing to the dual-polarimetric characteristic of the antenna array investigated, it is possible to optimize the DMN to decouple and match the array elements for the direction finding of impinging electromagnetic wavefronts.","","978-2-87487-049-1","10.23919/EURAD.2017.8249253","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8249253","direction finding;source localization;dual-polarized antennas;CRLB;decoupling;matching;compact antenna arrays;decoupling networks","Antenna arrays;Direction-of-arrival estimation;Antenna radiation patterns;Estimation;Array signal processing;Directive antennas;Antenna measurements","antenna arrays;antenna radiation patterns;array signal processing;direction-of-arrival estimation;electromagnetic wave polarisation","polarization optimization;compact antenna arrays;dual-polarized compact arrays;direction finding;distributed elements;free-space wavelength;dual-polarimetric characteristic;array elements;decoupling and matching networks;interelement spacings;two-dimensional Direction of Arrival estimation;five elements dual-polarized circular L-Quad arrays;impinging electromagnetic wavefronts","","","12","","8 Jan 2018","","","IEEE","IEEE Conferences"
"A soft switching current fed bidirectional isolated three-phase DC-DC converter","H. M. Oliveira Filho; G. N. S. Costa; A. D. M. Santos; D. S. Oliveira","Group of Electr. Energy Process. & Planning, Univ. for the Int. Integration of the Afro-Brazilian Lusophony, Acarape, Brazil; Group of Electrical Energy Processing and Planning-GProPEE, Institute for Engineering and Sustainable Development-IEDS, University for the International Integration of the Afro-Brazilian Lusophony - UNILAB, Acarape - CE, Brazil; Group of Electrical Energy Processing and Planning-GProPEE, Institute for Engineering and Sustainable Development-IEDS, University for the International Integration of the Afro-Brazilian Lusophony - UNILAB, Acarape - CE, Brazil; Group of Power Processing and Control - GPEC, Electrical Engineering Department - DEE, Federal University of Ceará - UFC, Fortaleza - CE, Brazil","2017 Brazilian Power Electronics Conference (COBEP)","15 Jan 2018","2017","","","1","6","A soft switching current fed bidirectional isolated three-phase dc-dc converter based on a voltage source dual-active bridge (DAB) topology is presented in this work. Current fed structures have more flexibility to ensure soft switching for a wide operating range, when compared with voltage source topologies, because the variable duty cycle allows maintain a dc link constant between the primary and secondary sides of the converter. Details and description of the proposed converter are presented. A mathematical analysis is realized regarding the power flow behavior and the switching characteristics of the topology. Simulations results considering a design example rated at 48V/380V, 3.5kW are performed to validate the proposed approach.","","978-1-5090-6248-5","10.1109/COBEP.2017.8257260","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8257260","Current fed source;phase-shift;pulse-width modulation;soft-switching;three-phase dc-dc converter","Topology;Two dimensional displays;Mathematical model;Load flow;DC-DC power converters;Switches;Zero voltage switching","DC-DC power convertors;mathematical analysis;switching convertors;voltage-source convertors;zero current switching;zero voltage switching","current fed structures;switching characteristics;dc link constant;mathematical analysis;power flow behavior;soft switching current fed bidirectional DC-DC converter;variable duty cycle;DAB topology;voltage source dual-active bridge topology;isolated three-phase dc-dc converter;voltage 380.0 V;power 3.5 kW;voltage 48.0 V","","","11","","15 Jan 2018","","","IEEE","IEEE Conferences"
"Change detection using polarimetric L band synthetic aperture radar data","M. S. Reis; S. J. S. Sant'Anna; E. Pantaleão","Brazilian National Institute for Space Research, São José dos Campos, SP - Brazil; Brazilian National Institute for Space Research, São José dos Campos, SP - Brazil; Federal University of Uberlândia, Patos de Minas, MG - Brazil","2017 IEEE International Geoscience and Remote Sensing Symposium (IGARSS)","4 Dec 2017","2017","","","5354","5357","Synthetic Aperture Radar (SAR) data is very important to land cover change detection, mainly in areas of tropical forests that are constantly under cloud cover. In this study, six features extracted from two L band SAR full-polarimetric images were evaluated for region based binary change detection in a region within the Brazilian Amazon, in the years of 2006 and 2009. These features were the intensities from polarizations HH, HV and VV and the three components from Freeman-Durden polarimetric decomposition. The best results were obtained by HV intensity and the volume and double-bounce scattering components from Freeman-Durden polarimetric decomposition. Visual analysis of data indicates the volume scattering component as to better represent changes in the land cover. This feature also appears to be less sensitive to noise than the other components from the polarimetric decomposition. However, since full-polarimetric data is still limited in many areas within the Brazilian Amazon, the use of HV intensity is recommended, if only polarized data is available.","2153-7003","978-1-5090-4951-6","10.1109/IGARSS.2017.8128213","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8128213","SAR;change detection;polarimetric decomposition;L band","Synthetic aperture radar;Scattering;Vegetation mapping;Feature extraction;Image segmentation;Monitoring;Sensors","feature extraction;forestry;geophysical image processing;land cover;object detection;radar polarimetry;remote sensing by radar;synthetic aperture radar","full-polarimetric data;Brazilian Amazon;polarimetric L band synthetic aperture radar data;tropical forests;cloud cover;L band SAR full-polarimetric images;land cover change detection;AD 2006;AD 2009;feature extraction;Freeman-Durden polarimetric decomposition","","","7","","4 Dec 2017","","","IEEE","IEEE Conferences"
"Parameter Estimation of a Demand Forecasting Function Associated with the Behavior of Weed Using Genetic Algorithm","M. S. Sterzo; P. E. Cruvinel","Embrapa Instrum. Brazilian Agric. Res. Corp., Sao Carlos, Brazil; Embrapa Instrum. Brazilian Agric. Res. Corp., Sao Carlos, Brazil","2017 IEEE 11th International Conference on Semantic Computing (ICSC)","30 Mar 2017","2017","","","452","458","This paper presents a computational method used to estimate the parameters of a demand forecasting equation, and its semantic interpretation, that describes the behavior of a generation of weeds in an agricultural field. Its implementation was made with a genetic algorithm (GA) structured by evolutionary logic, which uses the technique of identification of the function parameters from the seeds density of weed on an experimental field. In order to evaluate and validate the developed technique, a seeds density of weed database was generated from the application of original parameters of the weed Abutilon theophrasti which can be found in a maize crop (Zea mays) area. This database was used, and the GA demonstrated a high efficacy. In 38% of the analyzed cases, the fitness was below 5 for 100 realized experiments. This associated variable, i.e, for each analyzed individual, is related to the mean square error (MSE), which has its existence in the domain 0 ≤ MSE <; ∞.","","978-1-5090-4284-5","10.1109/ICSC.2017.43","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7889578","Weed;Genetic Algorithm;Estimation of Parameters","Sociology;Statistics;Mathematical model;Genetic algorithms;Demand forecasting;Production;Databases","crops;demand forecasting;genetic algorithms;mean square error methods;parameter estimation","parameter estimation;demand forecasting function;weed behavior;genetic algorithm;demand forecasting equation;semantic interpretation;agricultural field;evolutionary logic;function parameter identification;seeds density;weed database;Abutilon theophrasti weed;maize crop;Zea mays;mean square error;MSE","","","18","","30 Mar 2017","","","IEEE","IEEE Conferences"
"Tropical forest structure observation with TanDEM-X data","A. Pulella; P. C. Bispo; M. Pardini; F. Kugler; V. Cazcarra; M. Tello; K. Papathanassiou; H. Balzter; I. Rizaev; M. N. Santos; J. R. dos Santos; L. S. Araujo; K. Tansey","University of Pisa - Department of Information Engineering - Pisa (Italy); University of Leicester - Leicester (United Kingdom); German Aerospace Center (DLR) - Microwave and Radar Institute - Wessling (Germany); German Aerospace Center (DLR) - Microwave and Radar Institute - Wessling (Germany); German Aerospace Center (DLR) - Microwave and Radar Institute - Wessling (Germany); German Aerospace Center (DLR) - Microwave and Radar Institute - Wessling (Germany); German Aerospace Center (DLR) - Microwave and Radar Institute - Wessling (Germany); University of Leicester - Leicester (United Kingdom); Kuban State University - Krasnodar (Russia); Brazilian Agricultural Research Corporation (EMBRAPA) - Campinas / Jaguariuna (Brazil); National Institute of Space Research (INPE) - Division of Remote Sensing, - São José dos Campos (Brazil); Brazilian Agricultural Research Corporation (EMBRAPA) - Campinas / Jaguariuna (Brazil); University of Leicester - Leicester (United Kingdom)","2017 IEEE International Geoscience and Remote Sensing Symposium (IGARSS)","4 Dec 2017","2017","","","918","921","TanDEM-X forms together with TerraSAR-X the first single-pass polarimetric interferometer in space. This allows for the first time the acquisition and analysis of Single-, Dual-, and Quad-Pol-InSAR data without the disturbing effect of temporal decorrelation globally. For this reason, the exploration of TanDEM-X data for forestry is constantly increasing especially concerning forest height estimation, biomass classification and structure characterization. This paper reports the results of recent experiments aimed at investigating the potentials of TanDEM-X in characterizing quantitatively the spatial variability of the canopy top and phase center height, which is a proxy to horizontal structure. It is shown that such characterization can allow to differentiate among e.g. different successional and / disturbance stages in tropical forests.","2153-7003","978-1-5090-4951-6","10.1109/IGARSS.2017.8127102","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8127102","SAR;interferometry;TanDEM-X;forest structure;canopy texture","Laser radar;Cogeneration;Coherence;Estimation;Biomass;Remote sensing;Vegetation mapping","radar interferometry;radar polarimetry;remote sensing by radar;synthetic aperture radar;vegetation;vegetation mapping","canopy top;phase center height;horizontal structure;tropical forest structure observation;TanDEM-X data;TanDEM-X forms;single-pass polarimetric interferometer;Quad-Pol-InSAR data;disturbing effect;temporal decorrelation;forest height estimation;biomass classification;structure characterization","","2","8","","4 Dec 2017","","","IEEE","IEEE Conferences"
"Estimation of losses in semiconductors of power through simulation","A. P. Monteiro; H. M. Oliveira Filho; S. N. Figueiredo; R. N. A. L. e. S. Aquino","Federal University of Campina Grande - UFCG, Campina Grande - Paraíba, Brazil; University for the International Integration of the Afro-Brazilian Lusophony - UNILAB, Acarape - Ceará, Brazil; Federal University of Piauí - UFPI, Teresina - Piauí, Brazil; University for the International Integration of the Afro-Brazilian Lusophony - UNILAB, Fortaleza - Ceará, Brazil","2017 Brazilian Power Electronics Conference (COBEP)","15 Jan 2018","2017","","","1","6","This paper presents the development of a simulation methodology to estimate the losses in power semiconductors using PSIM® software and using it as an educational tool. The simulation of the losses is implemented using the curves and the data provided in the datasheets of semiconductors. To validate this methodology, two modulation strategies are applied to the HB/ANPC inverter, modified PD-PWM and modified CSV-PWM, making the inverter operate with half the switches at low frequency (60 Hz) and the other half in high frequency (1020 Hz). Therefore, they were chosen two types of semiconductor switches. First is explained the operation of the inverter used, then the study of conduction and switching losses on the switches and diodes in antiparallel. The analysis of the conduction losses, is used for voltage at the nominal power curves module operation. Whereas the switching losses is used the energy dissipated curves during the ligament and the shutdown of the switches. These losses are displayed in simulation blocks, which are detailed building blocks implemented through a didactic approach. Finally, a comparison between simulated losses using PSIM® software and mathematical methods are performed. Additionally a comparison between the two modulations is performed indicating which produces less loss.","","978-1-5090-6248-5","10.1109/COBEP.2017.8257322","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8257322","Conduction Losses;Multilevel Inverter;Semiconductors of Power;Simulation;Switching Losses","Inverters;Mathematical model;Switching loss;Software;Semiconductor diodes;Frequency modulation","PWM invertors;PWM power convertors;switching convertors","power semiconductors;nominal power curves module operation;conduction losses;switching losses;semiconductor switches;CSV-PWM;modified PD-PWM;HB/ANPC inverter;frequency 60.0 Hz;frequency 1020.0 Hz","","","9","","15 Jan 2018","","","IEEE","IEEE Conferences"
"A Digital Five-Terminal Impedance Bridge","W. G. Kürte Ihlenfeld; R. T. de Barros e Vasconcellos","Brazilian National Institute of Metrology, Quality and Technology, Duque de Caxias, Brazil; Brazilian National Institute of Metrology, Quality and Technology, Duque de Caxias, Brazil","IEEE Transactions on Instrumentation and Measurement","10 May 2017","2017","66","6","1546","1552","This paper describes a five-terminal (four terminal with shield) digital impedance bridge aided by digital adaptive phase regulation. It allows the comparison of ac resistances and capacitances with outstanding accuracy and with measurement uncertainties bearing only some 10-6Ω/Ω, as corroborated by extensive experimental investigations.","1557-9662","","10.1109/TIM.2017.2659878","Brazilian National Institute of Metrology, Quality and Technology; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7867092","Adaptive signal processing;digital signal processing;electrical resistance measurements;electronic circuits;impedance;precision measurements;uncertainty","Bridge circuits;Impedance;Voltage measurement;Standards;Generators;Capacitance;Multiplexing","adaptive control;bridge circuits;digital circuits;digital control;measurement uncertainty;phase control","digital five-terminal impedance bridge;digital adaptive phase regulation;AC resistance;AC capacitance;measurement uncertainty","","4","21","","1 Mar 2017","","","IEEE","IEEE Journals"
"A New Nested Benders Decomposition Strategy for Parallel Processing Applied to the Hydrothermal Scheduling Problem","T. N. Santos; A. L. Diniz; C. L. T. Borges","CEPEL—Brazilian Electric Energy Research Center, Rio de Janeiro, Brazil; CEPEL—Brazilian Electric Energy Research Center, Rio de Janeiro, Brazil; UFRJ/COPPE—Federal University of Rio de Janeiro, Rio de Janeiro, Brazil","IEEE Transactions on Smart Grid","19 Apr 2017","2017","8","3","1504","1512","Several optimization strategies are suitable for parallel processing, such as mathematical-programming based decomposition strategies, like Lagrangian relaxation and two-stage Benders decomposition, and evolutionary programming-like algorithms. In such cases, most subproblems can be solved independently by different processors. However, parallel processing is not suitable for some problems solved by nested Benders decomposition, due to the hierarchy between subproblems related to different time steps. In particular, for the deterministic case, parallel programming has been restricted to thread processing in lower-level machine computation and optimization solver codes. This paper proposes a new nested Benders decomposition strategy that is suitable for parallel processing, where time-coupled stages are solved simultaneously and an alternative procedure is employed to share initial conditions for the next stages as well as Benders cuts for the previous stages. The methodology is applied to the deterministic short term hydrothermal scheduling problem for the real large-scale Brazilian system, where the advantages of the proposed approach become more evident. In order to show the applicability of the method in low-budget and small parallel environments, the case study was processed with up to 24 process on multi-core computers.","1949-3061","","10.1109/TSG.2016.2593402","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7516724","Parallel processing;multi stage Benders decomposition;short term hydrothermal scheduling","Power transmission lines;Reservoirs;Optimization;Planning;Power grids;Mathematical model;Parallel processing","hydrothermal power systems;mathematical programming;power generation scheduling","nested Benders decomposition strategy;parallel processing;hydrothermal scheduling problem;optimization strategies;mathematical-programming based decomposition strategies;two-stage Benders decomposition;parallel programming;large-scale Brazilian system","","10","20","","19 Jul 2016","","","IEEE","IEEE Journals"
"Functional FMECA method applied to autonomous underwater vehicle development","C. Silva Cavalcante Lima; M. Reis; L. Schnitman; H. Lepikson","Brazilian Institute of Robotics - SENAI CIMATEC, Salvador, Brazil; Brazilian Institute of Robotics - SENAI CIMATEC, Salvador, Brazil; Universidade Federal da Bahia, Salvador, Brazil; Universidade Federal da Bahia, Salvador, Brazil","OCEANS 2017 - Anchorage","25 Dec 2017","2017","","","1","8","In the past years the Autonomous Underwater Vehicle technology has increased in complexity and expanded its role in the subsea environment. More and more, AUVs are performing critical and key activities. Therefore, Reliability of AUV systems is a topic with crescent relevance in the underwater field. When developing a complex system such as an AUV some issues might appear during the execution of hardware and software FMECA individually. Hence, a functional approach appears as the most suitable for this type of system. Within this paper this new method for implementing Functional FMECA to AUV is presented step-by-step with an study case applied to a subsea-resident AUV for inspection in order to illustrate and understand the how the results are obtained.","","978-0-6929-4690-9","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8232209","","Hardware;Software;Software reliability;Underwater autonomous vehicles;Complex systems;Reliability engineering","autonomous underwater vehicles;large-scale systems;reliability","Reliability;AUV systems;autonomous underwater vehicle development;Functional FMECA method;subsea-resident AUV;complex system","","","17","","25 Dec 2017","","","IEEE","IEEE Conferences"
"Prioritization of potential agreements between science, technology and innovation institutions: Prospective analysis for sorting countries according to interest areas of Brazilian army from the scientific and technological perspectives","F. C. B. Madeu; P. C. Pellanda; I. Borges; L. O. de Araújo; L. L. Fernández","Defense Engineering Graduate Program, Military Institute of Engineering (IME), Rio de Janeiro, Brazil; Defense Engineering Graduate Program, Military Institute of Engineering (IME), Rio de Janeiro, Brazil; Defense Engineering Graduate Program, Military Institute of Engineering (IME), Rio de Janeiro, Brazil; Agency of Management and Technological Innovation (AGITEC), Brazilian Army, Rio de Janeiro, Brazil; Agency of Management and Technological Innovation (AGITEC), Brazilian Army, Rio de Janeiro, Brazil","2017 Congreso Internacional de Innovacion y Tendencias en Ingenieria (CONIITI)","1 Feb 2018","2017","","","1","7","This paper presents a new quantitative prospective methodology for decision support in the field of Science, Technology and Innovation (STI). It defines a priority order for potential agreements between STI institutions from the quantitative modeling of certain specific features based on internal priority criteria of the organization seeking specific partnerships and attributes of potential partners. The suggested prospective analysis is based on weights of quantitative parameters taken from scientific literature, patents and business publications of the candidate partners, also weighted by sociocultural criteria of proximity between institutions. The final result is a listing of potential partnerships ordered according to indexes computed from weighting the partial scores obtained for each measurement criteria. A case study is presented in which research areas and lines prioritized by the Brazilian Army are used as the basis for defining a set of criteria to evaluate a group of countries in order to establish those most appropriate for cooperation agreements aiming at scientific and technological development.","","978-1-5386-0624-7","10.1109/CONIITI.2017.8273356","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8273356","Decision Making Support;Technology Forecast;Technology Foresight;Defense;Science;Technology and Innovation","Technological innovation;Organizations;Decision making;Cathode ray tubes;Patents;Tools","decision making;decision support systems;defence industry;government policies;innovation management;patents","priority order;STI institutions;quantitative modeling;internal priority criteria;prospective analysis;scientific literature;business publications;potential partnerships;Brazilian Army;cooperation agreements;scientific development;decision support;quantitative prospective methodology;technological perspectives;Brazilian army;innovation institutions;technological development","","","14","","1 Feb 2018","","","IEEE","IEEE Conferences"
"Underwater Locator Beacon signal propagation on tropical waters","R. Barmak; A. L. S. C. de Oliveira; P. S. Thiago; F. dos Santos; M. V. R. Lopes; G. Cernicchiaro","PROOCEANO, Rio de Janeiro, Brazil; PROOCEANO, Rio de Janeiro, Brazil; PROOCEANO, Rio de Janeiro, Brazil; PROOCEANO, Rio de Janeiro, Brazil; Brazilian Center for Physical Research (CBPF), Rio de Janeiro, Brazil; Brazilian Center for Physical Research (CBPF), Rio de Janeiro, Brazil","2017 IEEE/OES Acoustics in Underwater Geosciences Symposium (RIO Acoustics)","26 Apr 2018","2017","","","1","4","In the last 12 years, about 16 crashes involving commercial aircraft have ended in sea-crashes and dozens of maritime accidents resulting in sunken vessels occur every year. At the instant the aircraft Flight Data Recorder (FDR), or the ship Voyage Data Recorder (VDR), comes in contact with water, a locating device called ULB (Underwater Locator Beacon) starts a continuous emission of acoustic signals, or pings, for a minimum period of 30 days. After the crash of the Air France 447, in 2009, a discussion began about the effectiveness of the pingers in assisting in the location of “black boxes” and whether they should undergo some kind of modification to improve its capabilities. In order to understand the propagation of the pulses emitted by the ULBs in regions of past accidents, two fundamental aspects of the irradiated signal quality are analyzed: the components and specifications of pingers used in “black boxes” - as for example the acoustic intensity and the emitted waveform shape - and the physical characteristics of the medium and in what form it influences in the transmission of the pulses during its propagation by the ocean. This work has as main objective to contribute to the quantification of the detection capability of ULBs emitted pings in different scenarios /configurations and hopefully being able to clarify major issues regarding ULBs signal propagation assisting in the improvement of search and rescue (SAR) operational methodologies and in the development of “black box” acoustic signals detection instruments.","","978-1-5090-5010-9","10.1109/RIOAcoustics.2017.8349738","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8349738","ULB;pinger;black box;FDR;VDR;SAR;Underwater acoustic propagation","Acoustics;Numerical models;Computational modeling;Aircraft;Oceans;Propagation losses;Absorption","aircraft;data recording;geophysical signal processing;marine accidents;oceanographic techniques;ships;underwater acoustic propagation","ULBs signal propagation;black box;acoustic signals detection instruments;Locator Beacon signal propagation;tropical waters;commercial aircraft;sea-crashes;maritime accidents;sunken vessels;Air France 447;acoustic intensity;AD 2009;signal quality;aircraft flight data recorder;ship voyage data recorder;underwater locator beacon;AD 2009","","","12","","26 Apr 2018","","","IEEE","IEEE Conferences"
"Brazilian Amazon land mapping project: Status and perspectives","C. A. P. de Castro-Filho; R. Antônio da Silva Rosa","Geographic Service of the Brazilian Army, Brasília - DF, Brazil; Bradar Indústria S/A - Embraer Defesa & Segurança, São José dos Campos - SP, Brazil","2017 IEEE International Geoscience and Remote Sensing Symposium (IGARSS)","4 Dec 2017","2017","","","2895","2898","The Amazon Radiography Project aims at producing maps in the scale of 1:50,000, in a area of 1.8 million km2of the Brazilian Amazon using PolInSAR data. The purpose of this paper is to present the actual status of the Amazon Radiography Project and its perspectives. Together, some examples of technical and logistic overcoming will be highlighted. The products that will be made available throughout the project are orthoimages (X-HH and P-HH-HV-VH-VV bands), digital surface and terrain models (DSM / DTM), topographic maps, geospatial databases and vegetation stratification. From 2008 until now 72% of the project area has been imaged and 48% of the cartographic products been made. During the project, the adversities encountered generated the need for methodological development such as SAR data processing, new backup politics and polarimetric calibration. Also, the project allowed the technological development of the Brazilian SAR industry with the construction of new sensors.","2153-7003","978-1-5090-4951-6","10.1109/IGARSS.2017.8127603","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8127603","PolInSAR;Amazon;Forest;Cartographic Production;methodology","Indexes","geophysical image processing;radar imaging;radar interferometry;radar polarimetry;remote sensing by radar;terrain mapping;vegetation mapping","terrain models;topographic maps;Brazilian SAR industry;Brazilian Amazon land mapping project;Amazon Radiography Project;technical overcoming;logistic overcoming;P-HH-HV-VH-VV bands;digital surface","","","9","","4 Dec 2017","","","IEEE","IEEE Conferences"
"Accessibility and search engine optimization on scalable vector graphics","R. Ferraz","NIC.br - Brazilian Network Information Centre, Av. das Nações Unidas, 11541, 18th floor, São Paulo - SP - Brazil - zipcode 04578-000","2017 IEEE 4th International Conference on Soft Computing & Machine Intelligence (ISCMI)","5 Feb 2018","2017","","","94","98","The purpose of this paper was to carry out a study about techniques for description of images in Scalable Vector Graphics (SVG), and also assess the way in which search engines index this content. The study addressed the importance of the description of images, how this description has an impact on the web accessibility for screen reader users, and the way in which this content is indexed by search engines. The execution of the study involved a process of empirical observation, which represented a typical environment for the publication of a SVG code on a Web page. The base of the experiment was the publication of content within SVG elements, on a HTML5 (HyperText Markup Language version 5) webpage. After indexing by search engines, an investigation was carried out to see which elements were indexed. We observed the behaviour of the elements <;title>, <;desc>, <;text>, and also the aria-label attribute, as well as support by browsers and assistive technology, and its indexing by search engines. The hypothesis behind this work is that some elements and attributes that are important for accessibility of the SVG content are also useful for indexing the content by search engines. The conclusion of this study has shown that elements such as <;desc> and <;text> are indexed by search engines, and their combination with other elements and attributes may expand the accessibility of the page and also contribute for the indexing by search engines.","","978-1-5386-1314-6","10.1109/ISCMI.2017.8279605","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8279605","Accessibility;Web accessibility;Scalable Vector Graphics;SVG;SEO;Search Engine Optimization (key words)","Search engines;Browsers;Assistive technology;Optimization;Indexing;Graphics;Web pages","computer graphics;hypermedia markup languages;indexing;Internet;online front-ends;search engines;Web sites;XML","HTML5 webpage;indexing;SVG content;search engine optimization;scalable vector graphics;Web accessibility;empirical observation process;SVG code;Web page;SVG elements;HyperText Markup Language version 5","","1","13","","5 Feb 2018","","","IEEE","IEEE Conferences"
"Markov modeling of OFDM transmission over frequency selective channels","I. Moreira; C. Pimentel","Brazilian Telecommunications Agency, Brasília-DF, Brazil; Department of Electronics and Systems - UFPE, Recife-PE, Brazil","2017 40th International Conference on Telecommunications and Signal Processing (TSP)","23 Oct 2017","2017","","","110","113","We present analytical tools for evaluating the performance of Reed-Solomon (RS) codes concatenated to a discrete communications system (DCS), based on the IEEE 802.11 standard, with OFDM modulation and frequency-selective fading channel. The main idea is to model de DCS with a finite state Markov channel, more specifically the Gilbert-Elliott channel (GEC) in order to represent the successes and failures of the transmission of RS symbols over the DCS. The accuracy of the GEC is evaluated by comparing some statistics generated from simulations for the DCS with the numerically evaluated ones for the DCS.","","978-1-5090-3982-1","10.1109/TSP.2017.8075947","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8075947","Error probability;Gilbert-Elliott channel;finite-state Markov channels;fading channels;OFDM modulation","OFDM;Communication systems;Signal to noise ratio;Markov processes;Fading channels;IEEE 802.11 Standard;Probability","channel coding;fading channels;Markov processes;OFDM modulation;Reed-Solomon codes;wireless LAN","Markov modeling;OFDM transmission;frequency selective channels;Reed-Solomon codes;discrete communications system;DCS;frequency-selective fading channel;finite state Markov channel;Gilbert-Elliott channel;IEEE 802.11 standard","","1","10","","23 Oct 2017","","","IEEE","IEEE Conferences"
"Study of the effects of a metasurface on the performance of a microstrip antenna","R. Celestino dos Santos; A. L. P. S. Campos","Brazilian Navy, Naval Command, Natal, Brazil; Engineering Communications Department, Federal University of Rio Grande do Norte, Natal, Brazil","2017 SBMO/IEEE MTT-S International Microwave and Optoelectronics Conference (IMOC)","30 Nov 2017","2017","","","1","5","This paper aims to present the influence of a metasurface, a special type of metamaterials, in the performance of a microstrip antenna. We design and manufacture a microstrip antenna with and without the use of a metasurface. Simulations were done with ANSYS software and measurements were realized with a E5071C ENA Network Analyzer. A comparative analysis, showing how the metasurface changes the performance of a microstrip, is done.","","978-1-5090-6241-6","10.1109/IMOC.2017.8121021","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8121021","Microstrip Antenna;Metamaterials;Metasurface","Microstrip antennas;Antenna measurements;Microstrip;Resonant frequency;Bandwidth;Metamaterials","metamaterial antennas;microstrip antennas;network analysers","metasurface effect;metamaterials;ANSYS software;E5071C ENA network analyzer;microstrip antenna","","","8","","30 Nov 2017","","","IEEE","IEEE Conferences"
"Problem-based band selection for hyperspectral images","M. Habermann; V. Fremont; E. H. Shiguemori","Sorbonne Universités, Université de Technologie de Compiègne, CNRS, Heudiasyc UMR 7253, CS 60319, 60203 Compiègne cedex, France; Sorbonne Universités, Université de Technologie de Compiègne, CNRS, Heudiasyc UMR 7253, CS 60319, 60203 Compiègne cedex, France; Institute for Advanced Studies, Brazilian Air Force, Brazil","2017 IEEE International Geoscience and Remote Sensing Symposium (IGARSS)","4 Dec 2017","2017","","","1800","1803","This paper addresses the band selection of a hyperspectral image. Considering a binary classification, we devise a method to choose the more discriminating bands for the separation of the two classes involved, by using a simple algorithm: single-layer neural network. After that, the most discriminative bands are selected, and the resulting reduced data set is used in a more powerful classifier, namely, stacked denoising autoencoder. Besides its simplicity, the advantage of this method is that the selection of features is made by an algorithm similar to the classifier to be used, and not focused only on the separability measures of the data set. Results indicate the decrease of overfitting for the reduced data set, when compared to the full data architecture.","2153-7003","978-1-5090-4951-6","10.1109/IGARSS.2017.8127325","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8127325","Band Selection;Deep Learning;Artificial Neural Networks;Feature Selection;Binary Classification","Feature extraction;Training;Neural networks;Error analysis;Training data;Hyperspectral imaging","feature extraction;geophysical image processing;image denoising;learning (artificial intelligence);neural nets","powerful classifier;band selection;hyperspectral image;binary classification;discriminating bands;single-layer neural network;discriminative bands;resulting reduced data set","","1","7","","4 Dec 2017","","","IEEE","IEEE Conferences"
